AutoNum,playerID,birthyear,yearID,salary,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,SF,SH,HBP,IBB
133,caseyse01,1974,2006,8500000,1,PIT,NL,59,213,30,63,15,0,3,29,0,0,23,22,7,2,0,6,5
134,caseyse01,1974,2006,8500000,2,DET,AL,53,184,17,45,7,0,5,30,0,1,10,21,3,1,0,1,4
135,cassisc01,1975,2006,328000,1,SDN,NL,42,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
136,castijo02,1981,2006,348000,1,PIT,NL,148,518,54,131,25,0,14,65,6,4,32,98,22,6,1,5,8
137,castilu01,1975,2006,5071506,1,MIN,AL,142,584,84,173,22,6,3,49,25,11,56,58,14,2,9,1,0
138,castivi02,1967,2006,3200000,1,SDN,NL,72,254,24,59,10,0,4,23,0,0,9,46,5,4,0,2,0
139,castivi02,1967,2006,3200000,2,COL,NL,15,21,2,4,0,0,1,4,0,0,0,3,2,0,0,1,0
140,castrfa01,1985,2006,327000,1,TEX,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,castrfa01,1985,2006,327000,2,PHI,NL,16,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
142,castrju01,1972,2006,1000000,1,MIN,AL,50,156,10,36,5,2,1,14,1,1,6,23,6,1,1,0,0
143,castrju01,1972,2006,1000000,2,CIN,NL,54,95,8,27,5,1,2,14,0,1,5,13,0,0,0,0,0
144,castrra01,1976,2006,800000,1,NYN,NL,40,126,13,30,7,0,4,12,0,0,15,40,2,1,1,1,2
145,catalfr01,1974,2006,2700000,1,TOR,AL,128,437,56,131,36,2,7,56,1,3,52,37,11,4,2,4,0
146,cedenro02,1983,2006,336000,1,CHN,NL,151,534,51,131,18,7,6,41,8,8,17,109,10,3,15,3,4
147,chacigu01,1980,2006,347500,1,TOR,AL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,chacosh01,1977,2006,3600000,1,NYA,AL,17,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
149,chacosh01,1977,2006,3600000,2,PIT,NL,9,13,1,1,1,0,0,1,0,0,0,5,0,0,2,0,0
150,chaveen01,1978,2006,500000,1,NYN,NL,133,353,48,108,22,5,4,42,12,3,24,44,7,2,11,0,3
151,chaveer01,1977,2006,9500000,1,OAK,AL,137,485,74,117,24,2,22,72,3,0,84,100,19,6,0,1,6
152,chavera01,1973,2006,400000,1,BAL,AL,16,28,1,5,0,0,0,0,0,0,1,4,0,0,0,0,0
153,chenbr01,1977,2006,3800000,1,BAL,AL,40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,childja01,1975,2006,327000,1,TBA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,chulkvi01,1978,2006,348500,1,TOR,AL,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,chulkvi01,1978,2006,348500,2,SFN,NL,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,cintral01,1978,2006,1600000,1,CHA,AL,91,288,35,82,10,3,5,41,10,3,10,35,10,3,1,2,0
158,cirilje01,1969,2006,850000,1,MIL,NL,112,263,33,84,16,0,3,23,1,1,21,33,8,2,3,1,0
159,clarkbr02,1973,2006,3200000,1,MIL,NL,138,415,51,109,14,2,4,29,3,4,43,60,9,5,5,14,4
160,clarkto02,1972,2006,1034000,1,ARI,NL,79,132,13,26,4,0,6,16,0,0,13,40,5,0,0,2,2
161,clausbr01,1979,2006,370000,1,CIN,NL,14,21,1,2,0,0,0,1,0,0,0,11,0,0,3,0,0
162,claytro01,1970,2006,1000000,1,WAS,NL,87,305,36,82,22,1,0,27,8,3,19,53,8,5,5,4,3
163,claytro01,1970,2006,1000000,2,CIN,NL,50,149,13,35,8,0,2,13,6,3,11,32,3,1,2,1,0
